"Bucket label","RT","m/z","Name","Formula","neg_L_Saca_H2O_Ex9-11_1-C,8_01_829","neg_L_Saca_H2O_Ex9-12_2-A,2_01_853","neg_L_Saca_H2O_Ex9-13_1-C,5_01_826","neg_L_Saca_H2O_Ex9-14_1-C,4_01_825","neg_L_Saca_H2O_Ex9-15_1-B,3_01_814","neg_L_Saca_H2O_Ex9-16_1-B,7_01_818","neg_L_Saca_H2O_Ex9-17_1-A,6_01_807","neg_L_Saca_H2O_Ex9-18_1-D,2_01_833","neg_L_Saca_H2O_Ex9-19_1-E,1_01_842","neg_L_Saca_H2O_Ex9-20_2-B,2_01_861","neg_L_Saca_Pinf_Ex9-01_2-A,5_01_856","neg_L_Saca_Pinf_Ex9-02_1-E,7_01_848","neg_L_Saca_Pinf_Ex9-03_1-A,8_01_809","neg_L_Saca_Pinf_Ex9-04_1-D,5_01_836","neg_L_Saca_Pinf_Ex9-05_2-A,8_01_859","neg_L_Saca_Pinf_Ex9-06_2-A,6_01_857","neg_L_Saca_Pinf_Ex9-07_1-C,3_01_824","neg_L_Saca_Pinf_Ex9-08_1-D,4_01_835","neg_L_Saca_Pinf_Ex9-09_1-C,7_01_828","neg_L_Saca_Pinf_Ex9-10_1-D,7_01_838","neg_L_Sbulb_H2O_Ex9-51_1-C,7_01_1053","neg_L_Sbulb_H2O_Ex9-52_1-B,1_01_1037","neg_L_Sbulb_H2O_Ex9-53_1-E,2_01_1069","neg_L_Sbulb_H2O_Ex9-54_1-B,8_01_1044","neg_L_Sbulb_H2O_Ex9-55_1-B,6_01_1042","neg_L_Sbulb_H2O_Ex9-56_2-C,7_01_1084","neg_L_Sbulb_H2O_Ex9-57_2-C,5_01_1082","neg_L_Sbulb_H2O_Ex9-58_1-E,3_01_1070","neg_L_Sbulb_H2O_Ex9-59_2-D,2_01_1089","neg_L_Sbulb_H2O_Ex9-60_1-E,5_01_1072","neg_L_Sbulb_Pinf_Ex9-41_2-E,3_01_1101","neg_L_Sbulb_Pinf_Ex9-42_2-D,6_01_1093","neg_L_Sbulb_Pinf_Ex9-43_1-B,4_01_1040","neg_L_Sbulb_Pinf_Ex9-44_1-A,5_01_1031","neg_L_Sbulb_Pinf_Ex9-45_2-E,4_01_1102","neg_L_Sbulb_Pinf_Ex9-46_1-A,6_01_1032","neg_L_Sbulb_Pinf_Ex9-47_1-C,3_01_1049","neg_L_Sbulb_Pinf_Ex9-48_1-D,6_01_1063","neg_L_Sbulb_Pinf_Ex9-49_2-C,3_01_1080","neg_L_Sbulb_Pinf_Ex9-50_1-B,3_01_1039","neg_L_Ssto_H2O_Ex9-31_1-A,4_01_1030","neg_L_Ssto_H2O_Ex9-32_1-B,5_01_1041","neg_L_Ssto_H2O_Ex9-33_1-C,1_01_1047","neg_L_Ssto_H2O_Ex9-34_1-D,8_01_1065","neg_L_Ssto_H2O_Ex9-35_1-D,2_01_1058","neg_L_Ssto_H2O_Ex9-36_1-C,4_01_1050","neg_L_Ssto_H2O_Ex9-37_2-C,2_01_1079","neg_L_Ssto_H2O_Ex9-38_1-D,1_01_1057","neg_L_Ssto_H2O_Ex9-39_1-D,4_01_1061","neg_L_Ssto_H2O_Ex9-40_1-C,2_01_1048","neg_L_Ssto_Pinf_Ex9-21_1-B,7_01_1043","neg_L_Ssto_Pinf_Ex9-22_1-A,2_01_1028","neg_L_Ssto_Pinf_Ex9-23_2-C,8_01_1085","neg_L_Ssto_Pinf_Ex9-24_2-D,5_01_1092","neg_L_Ssto_Pinf_Ex9-25_2-D,8_01_1096","neg_L_Ssto_Pinf_Ex9-26_1-A,7_01_1033","neg_L_Ssto_Pinf_Ex9-27_1-C,5_01_1051","neg_L_Ssto_Pinf_Ex9-28_1-A,3_01_1029","neg_L_Ssto_Pinf_Ex9-29_1-E,1_01_1068","neg_L_Ssto_Pinf_Ex9-30_1-E,8_01_1075","neg_L_Stub_H2O_Ex9-71_1-C,6_01_1052","neg_L_Stub_H2O_Ex9-72_1-E,4_01_1071","neg_L_Stub_H2O_Ex9-73_1-E,7_01_1074","neg_L_Stub_H2O_Ex9-74_2-E,2_01_1100","neg_L_Stub_H2O_Ex9-75_2-C,4_01_1081","neg_L_Stub_H2O_Ex9-76_2-E,1_01_1099","neg_L_Stub_H2O_Ex9-77_1-C,8_01_1054","neg_L_Stub_H2O_Ex9-78_2-C,6_01_1083","neg_L_Stub_H2O_Ex9-79_1-D,3_01_1059","neg_L_Stub_H2O_Ex9-80_1-A,1_01_1027","neg_L_Stub_Pinf_Ex9-61_2-D,7_01_1095","neg_L_Stub_Pinf_Ex9-62_1-B,2_01_1038","neg_L_Stub_Pinf_Ex9-63_2-C,1_01_1078","neg_L_Stub_Pinf_Ex9-64_1-D,7_01_1064","neg_L_Stub_Pinf_Ex9-65_1-D,5_01_1062","neg_L_Stub_Pinf_Ex9-66_1-E,6_01_1073","neg_L_Stub_Pinf_Ex9-67_2-D,4_01_1091","neg_L_Stub_Pinf_Ex9-68_1-A,8_01_1034","neg_L_Stub_Pinf_Ex9-69_2-D,1_01_1088","neg_L_Stub_Pinf_Ex9-70_2-D,3_01_1090"
"Species - Treatment",,,,,"S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - H2O","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.aca - Pinf","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - H2O","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.bulb - Pinf","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - H2O","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.sto - Pinf","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - H2O","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf","S.tub - Pinf"
"419,90088 Da 23,14 s",0.39,418.8936,,,4541.0,3247.0,4039.0,1973.0,3241.0,3961.0,2467.0,5091.0,2956.0,4861.0,4426.0,4841.0,4195.0,3932.0,4850.0,3814.0,3115.0,4932.0,3672.0,3768.0,927.0,786.0,910.0,900.0,1088.0,1067.0,835.0,1010.0,745.0,868.0,459.0,355.0,487.0,405.0,355.0,672.0,388.0,568.0,669.0,512.0,2175.0,2272.0,3467.0,2061.0,3018.0,2341.0,3575.0,3924.0,3777.0,1530.0,2239.0,1767.0,2938.0,3418.0,1939.0,2712.0,2301.0,2276.0,2950.0,2802.0,691.0,1622.0,2352.0,1139.0,633.0,2440.0,1645.0,1512.0,1269.0,2178.0,2631.0,1585.0,1533.0,2295.0,3073.0,3665.0,982.0,562.0,1450.0,2200.0
"311,87722 Da 23,57 s",0.39,310.8699,,,1620.0,595.0,764.0,368.0,457.0,679.0,1204.0,1124.0,416.0,598.0,1058.0,1743.0,601.0,936.0,1696.0,913.0,443.0,1581.0,864.0,1324.0,184.0,205.0,318.0,103.0,279.0,0.0,240.0,286.0,213.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,786.0,753.0,936.0,568.0,1085.0,773.0,1389.0,1159.0,1395.0,383.0,732.0,712.0,900.0,1092.0,636.0,839.0,543.0,655.0,782.0,916.0,166.0,262.0,868.0,348.0,0.0,683.0,450.0,531.0,311.0,391.0,0.0,257.0,0.0,347.0,269.0,0.0,0.0,0.0,159.0,417.0
"387,94615 Da 23,59 s",0.39,386.9389,,,1657.0,3183.0,2189.0,4076.0,2643.0,2450.0,1925.0,1904.0,2836.0,2002.0,1623.0,1766.0,2200.0,1875.0,1237.0,1506.0,3125.0,1808.0,1522.0,1899.0,8856.0,8431.0,8567.0,8273.0,8480.0,7668.0,8434.0,8339.0,8896.0,8657.0,2966.0,11292.0,10259.0,9591.0,10116.0,9157.0,10424.0,6268.0,3285.0,10157.0,6669.0,6854.0,5844.0,7701.0,3538.0,6483.0,4910.0,5262.0,5270.0,8258.0,6964.0,6688.0,6619.0,5531.0,7016.0,5811.0,6547.0,6179.0,6291.0,6532.0,7635.0,6626.0,5507.0,2682.0,7509.0,5471.0,6022.0,6202.0,6972.0,6020.0,4917.0,6244.0,5448.0,5644.0,4348.0,4348.0,6989.0,6714.0,5524.0,5329.0
"131,98518 Da 23,60 s",0.39,130.9779,,,1030.0,1350.0,1747.0,1670.0,1012.0,1028.0,1138.0,1968.0,1050.0,1449.0,1762.0,1233.0,1113.0,1063.0,1714.0,1723.0,1148.0,991.0,1599.0,1291.0,1743.0,2004.0,2210.0,1870.0,1852.0,2072.0,2067.0,2037.0,2278.0,1944.0,837.0,848.0,2182.0,2152.0,1081.0,842.0,2031.0,923.0,2160.0,2024.0,702.0,1670.0,1650.0,1826.0,1828.0,1074.0,1695.0,891.0,1122.0,2078.0,1818.0,1985.0,1897.0,841.0,822.0,1842.0,1716.0,2069.0,1973.0,1055.0,987.0,1628.0,1828.0,907.0,1960.0,1942.0,2063.0,1931.0,1869.0,1765.0,1107.0,1901.0,1999.0,1763.0,1382.0,1768.0,2355.0,2047.0,1468.0,1963.0
"403,92346 Da 23,66 s",0.39,402.9162,,,5428.0,5166.0,6727.0,7011.0,7127.0,7187.0,3742.0,6851.0,6696.0,6768.0,6092.0,7491.0,6728.0,6805.0,3495.0,5591.0,6647.0,7411.0,5813.0,5016.0,5916.0,5917.0,6181.0,5401.0,6387.0,2420.0,6039.0,6696.0,5509.0,5272.0,885.0,3976.0,1474.0,4060.0,3437.0,4707.0,4359.0,4512.0,5397.0,4697.0,3090.0,8684.0,9876.0,2220.0,4156.0,9301.0,10089.0,10214.0,10267.0,7879.0,8876.0,8062.0,9431.0,5074.0,2394.0,8529.0,2719.0,8116.0,8994.0,9251.0,4809.0,3205.0,8248.0,6370.0,4837.0,8089.0,7461.0,6641.0,6382.0,7897.0,2856.0,8012.0,6625.0,7967.0,8283.0,9166.0,5854.0,4017.0,5902.0,7791.0
"175,96325 Da 23,88 s",0.40,174.9560,,,7173.0,4096.0,3523.0,3562.0,3567.0,5186.0,4896.0,3633.0,3472.0,5910.0,1473.0,5342.0,4179.0,4152.0,5428.0,5257.0,3897.0,4626.0,4203.0,5471.0,2161.0,2063.0,897.0,2046.0,2395.0,1324.0,876.0,2076.0,1668.0,2021.0,1395.0,1366.0,1465.0,1212.0,1101.0,1587.0,1099.0,1253.0,993.0,1470.0,3555.0,825.0,1742.0,3032.0,2996.0,3468.0,2699.0,4784.0,4751.0,2782.0,3231.0,1014.0,4142.0,4662.0,1863.0,933.0,3781.0,999.0,3914.0,3919.0,1350.0,2097.0,1558.0,1478.0,2039.0,1206.0,804.0,3045.0,2367.0,1676.0,3348.0,1171.0,3161.0,3549.0,4151.0,4711.0,1537.0,1557.0,2981.0,1726.0
"295,89931 Da 24,05 s",0.40,294.8920,,,2548.0,1855.0,2003.0,1871.0,1726.0,1812.0,2444.0,2374.0,1298.0,1870.0,2376.0,3079.0,1664.0,2430.0,2912.0,2390.0,1557.0,2751.0,2151.0,2272.0,1316.0,1852.0,1300.0,1449.0,1533.0,1697.0,1890.0,1573.0,1488.0,1452.0,1299.0,976.0,1013.0,1300.0,1122.0,1052.0,1023.0,1295.0,1407.0,1125.0,3420.0,1391.0,3060.0,2338.0,3048.0,2627.0,3206.0,3149.0,3355.0,1289.0,3126.0,1974.0,3288.0,2820.0,2790.0,1605.0,1758.0,1667.0,2949.0,2744.0,1146.0,1722.0,2789.0,1962.0,1025.0,2466.0,0.0,2452.0,1985.0,2031.0,760.0,828.0,712.0,1493.0,973.0,662.0,1036.0,836.0,998.0,2132.0
"115,99635 Da 24,10 s",0.40,114.9891,,,1791.0,2362.0,1247.0,2842.0,2314.0,2227.0,2169.0,1347.0,2118.0,2392.0,1866.0,1967.0,2250.0,1708.0,1776.0,1793.0,2477.0,1795.0,1628.0,1946.0,1994.0,1691.0,2139.0,1924.0,1964.0,3653.0,1780.0,3993.0,1852.0,2251.0,2773.0,2877.0,2721.0,2306.0,2927.0,0.0,2974.0,3595.0,2986.0,1872.0,2608.0,1452.0,1957.0,2692.0,2523.0,3369.0,2202.0,2235.0,3066.0,2292.0,3629.0,1736.0,1617.0,2724.0,3063.0,1407.0,2799.0,1719.0,1864.0,1834.0,3658.0,2954.0,1959.0,2696.0,1745.0,1009.0,1266.0,1023.0,1214.0,1949.0,2430.0,1488.0,1725.0,1802.0,3506.0,3449.0,2323.0,1166.0,3298.0,1757.0
"393,90044 Da 24,12 s",0.40,392.8932,,,416.0,381.0,0.0,346.0,0.0,271.0,283.0,324.0,248.0,595.0,318.0,318.0,259.0,0.0,244.0,125.0,276.0,359.0,0.0,340.0,1160.0,1651.0,0.0,1014.0,1503.0,1094.0,1018.0,1013.0,1095.0,1071.0,0.0,1514.0,1236.0,1437.0,1300.0,1122.0,1202.0,992.0,1151.0,1343.0,1453.0,1115.0,1022.0,1280.0,957.0,1001.0,1086.0,1281.0,1076.0,1135.0,1258.0,1186.0,1095.0,1280.0,1462.0,1460.0,763.0,1422.0,979.0,1114.0,931.0,634.0,683.0,1049.0,1078.0,621.0,773.0,1049.0,820.0,735.0,394.0,617.0,0.0,475.0,415.0,0.0,0.0,561.0,0.0,0.0
