Bucket_label,RT,m/z,dummy,Name,Formula,S.aca_-_H2O_1,S.aca_-_H2O_2,S.aca_-_H2O_3,S.aca_-_H2O_4,S.aca_-_H2O_5,S.aca_-_H2O_6,S.aca_-_H2O_7,S.aca_-_H2O_8,S.aca_-_H2O_9,S.aca_-_H2O_10,S.aca_-_Pinf_11,S.aca_-_Pinf_12,S.aca_-_Pinf_13,S.aca_-_Pinf_14,S.aca_-_Pinf_15,S.aca_-_Pinf_16,S.aca_-_Pinf_17,S.aca_-_Pinf_18,S.aca_-_Pinf_19,S.aca_-_Pinf_20,S.bulb_-_H2O_21,S.bulb_-_H2O_22,S.bulb_-_H2O_23,S.bulb_-_H2O_24,S.bulb_-_H2O_25,S.bulb_-_H2O_26,S.bulb_-_H2O_27,S.bulb_-_H2O_28,S.bulb_-_H2O_29,S.bulb_-_H2O_30,S.bulb_-_Pinf_31,S.bulb_-_Pinf_32,S.bulb_-_Pinf_33,S.bulb_-_Pinf_34,S.bulb_-_Pinf_35,S.bulb_-_Pinf_36,S.bulb_-_Pinf_37,S.bulb_-_Pinf_38,S.bulb_-_Pinf_39,S.bulb_-_Pinf_40,S.sto_-_H2O_41,S.sto_-_H2O_42,S.sto_-_H2O_43,S.sto_-_H2O_44,S.sto_-_H2O_45,S.sto_-_H2O_46,S.sto_-_H2O_47,S.sto_-_H2O_48,S.sto_-_H2O_49,S.sto_-_H2O_50,S.sto_-_Pinf_51,S.sto_-_Pinf_52,S.sto_-_Pinf_53,S.sto_-_Pinf_54,S.sto_-_Pinf_55,S.sto_-_Pinf_56,S.sto_-_Pinf_57,S.sto_-_Pinf_58,S.sto_-_Pinf_59,S.sto_-_Pinf_60,S.tub_-_H2O_61,S.tub_-_H2O_62,S.tub_-_H2O_63,S.tub_-_H2O_64,S.tub_-_H2O_65,S.tub_-_H2O_66,S.tub_-_H2O_67,S.tub_-_H2O_68,S.tub_-_H2O_69,S.tub_-_H2O_70,S.tub_-_Pinf_71,S.tub_-_Pinf_72,S.tub_-_Pinf_73,S.tub_-_Pinf_74,S.tub_-_Pinf_75,S.tub_-_Pinf_76,S.tub_-_Pinf_77,S.tub_-_Pinf_78,S.tub_-_Pinf_79,S.tub_-_Pinf_80
419.90088_Da_23.14_s,0.39,418.8936,999,NA,NA,4541,3247,4039,1973,3241,3961,2467,5091,2956,4861,4426,4841,4195,3932,4850,3814,3115,4932,3672,3768,927,786,910,900,1088,1067,835,1010,745,868,459,355,487,405,355,672,388,568,669,512,2175,2272,3467,2061,3018,2341,3575,3924,3777,1530,2239,1767,2938,3418,1939,2712,2301,2276,2950,2802,691,1622,2352,1139,633,2440,1645,1512,1269,2178,2631,1585,1533,2295,3073,3665,982,562,1450,2200
311.87722_Da_23.57_s,0.39,310.8699,999,NA,NA,1620,595,764,368,457,679,1204,1124,416,598,1058,1743,601,936,1696,913,443,1581,864,1324,184,205,318,103,279,0,240,286,213,0,0,0,139,0,0,0,0,167,0,0,786,753,936,568,1085,773,1389,1159,1395,383,732,712,900,1092,636,839,543,655,782,916,166,262,868,348,0,683,450,531,311,391,0,257,0,347,269,0,0,0,159,417
387.94615_Da_23.59_s,0.39,386.9389,999,NA,NA,1657,3183,2189,4076,2643,2450,1925,1904,2836,2002,1623,1766,2200,1875,1237,1506,3125,1808,1522,1899,8856,8431,8567,8273,8480,7668,8434,8339,8896,8657,2966,11292,10259,9591,10116,9157,10424,6268,3285,10157,6669,6854,5844,7701,3538,6483,4910,5262,5270,8258,6964,6688,6619,5531,7016,5811,6547,6179,6291,6532,7635,6626,5507,2682,7509,5471,6022,6202,6972,6020,4917,6244,5448,5644,4348,4348,6989,6714,5524,5329
131.98518_Da_23.60_s,0.39,130.9779,999,NA,NA,1030,1350,1747,1670,1012,1028,1138,1968,1050,1449,1762,1233,1113,1063,1714,1723,1148,991,1599,1291,1743,2004,2210,1870,1852,2072,2067,2037,2278,1944,837,848,2182,2152,1081,842,2031,923,2160,2024,702,1670,1650,1826,1828,1074,1695,891,1122,2078,1818,1985,1897,841,822,1842,1716,2069,1973,1055,987,1628,1828,907,1960,1942,2063,1931,1869,1765,1107,1901,1999,1763,1382,1768,2355,2047,1468,1963
403.92346_Da_23.66_s,0.39,402.9162,999,NA,NA,5428,5166,6727,7011,7127,7187,3742,6851,6696,6768,6092,7491,6728,6805,3495,5591,6647,7411,5813,5016,5916,5917,6181,5401,6387,2420,6039,6696,5509,5272,885,3976,1474,4060,3437,4707,4359,4512,5397,4697,3090,8684,9876,2220,4156,9301,10089,10214,10267,7879,8876,8062,9431,5074,2394,8529,2719,8116,8994,9251,4809,3205,8248,6370,4837,8089,7461,6641,6382,7897,2856,8012,6625,7967,8283,9166,5854,4017,5902,7791
175.96325_Da_23.88_s,0.40,174.9560,999,NA,NA,7173,4096,3523,3562,3567,5186,4896,3633,3472,5910,1473,5342,4179,4152,5428,5257,3897,4626,4203,5471,2161,2063,897,2046,2395,1324,876,2076,1668,2021,1395,1366,1465,1212,1101,1587,1099,1253,993,1470,3555,825,1742,3032,2996,3468,2699,4784,4751,2782,3231,1014,4142,4662,1863,933,3781,999,3914,3919,1350,2097,1558,1478,2039,1206,804,3045,2367,1676,3348,1171,3161,3549,4151,4711,1537,1557,2981,1726
295.89931_Da_24.05_s,0.40,294.8920,999,NA,NA,2548,1855,2003,1871,1726,1812,2444,2374,1298,1870,2376,3079,1664,2430,2912,2390,1557,2751,2151,2272,1316,1852,1300,1449,1533,1697,1890,1573,1488,1452,1299,976,1013,1300,1122,1052,1023,1295,1407,1125,3420,1391,3060,2338,3048,2627,3206,3149,3355,1289,3126,1974,3288,2820,2790,1605,1758,1667,2949,2744,1146,1722,2789,1962,1025,2466,0,2452,1985,2031,760,828,712,1493,973,662,1036,836,998,2132
115.99635_Da_24.10_s,0.40,114.9891,999,NA,NA,1791,2362,1247,2842,2314,2227,2169,1347,2118,2392,1866,1967,2250,1708,1776,1793,2477,1795,1628,1946,1994,1691,2139,1924,1964,3653,1780,3993,1852,2251,2773,2877,2721,2306,2927,0,2974,3595,2986,1872,2608,1452,1957,2692,2523,3369,2202,2235,3066,2292,3629,1736,1617,2724,3063,1407,2799,1719,1864,1834,3658,2954,1959,2696,1745,1009,1266,1023,1214,1949,2430,1488,1725,1802,3506,3449,2323,1166,3298,1757
393.90044_Da_24.12_s,0.40,392.8932,999,NA,NA,416,381,0,346,0,271,283,324,248,595,318,318,259,0,244,125,276,359,0,340,1160,1651,0,1014,1503,1094,1018,1013,1095,1071,0,1514,1236,1437,1300,1122,1202,992,1151,1343,1453,1115,1022,1280,957,1001,1086,1281,1076,1135,1258,1186,1095,1280,1462,1460,763,1422,979,1114,931,634,683,1049,1078,621,773,1049,820,735,394,617,0,475,415,0,0,561,0,0
566.05427_Da_24.24_s,0.40,565.0470,999,NA,NA,518,682,592,758,728,569,616,839,912,601,743,531,794,966,761,1009,893,901,912,586,736,555,454,764,505,536,628,771,759,730,483,527,567,785,922,998,618,717,593,846,411,663,352,644,337,592,411,313,193,842,762,668,395,674,528,464,1139,683,515,554,710,599,591,775,694,564,710,718,604,715,616,641,861,656,533,615,1128,1305,785,830
281.91915_Da_24.34_s,0.41,280.9119,999,NA,NA,1460,916,725,871,861,744,716,809,642,1274,732,737,801,581,480,484,771,865,584,728,1472,2637,2354,1634,2373,1406,1634,1579,1522,1710,1905,3106,1824,2182,1805,1394,1891,1730,2464,1121,4990,4616,4945,3912,3250,3990,3905,4615,4499,2314,3756,3614,3958,4758,4127,6003,1818,3887,4296,4114,1549,1170,1180,1332,1790,827,1431,1680,1549,1031,865,998,526,880,1050,1204,1074,1226,631,967
181.92213_Da_24.41_s,0.41,180.9149,999,NA,NA,1803,1177,1443,1347,1440,1376,2140,2157,1150,981,2083,2987,1215,1893,2868,2401,1222,2106,2343,1914,892,862,872,889,998,927,814,842,789,897,597,721,449,667,506,663,600,685,614,619,1694,1719,1738,1228,1945,1528,1948,1926,2100,844,1579,1600,1770,1467,1698,1996,1060,1536,1338,1577,1079,955,2372,1469,1066,1148,1458,1401,1495,1425,402,990,493,865,647,0,722,714,725,1134
249.90347_Da_24.62_s,0.41,248.8962,999,NA,NA,636,1278,1225,1325,991,1066,1043,1289,1178,717,950,1151,1073,1222,1349,1393,1406,1162,1624,1207,1382,833,795,1621,887,1242,1129,1036,1534,1191,1158,799,1116,1246,1387,1410,1109,1248,893,1372,516,589,280,749,521,514,437,283,333,887,559,671,516,375,611,387,741,642,375,461,2192,1263,1736,1926,1850,1232,1594,1530,1901,1501,537,1171,961,967,695,331,1625,1866,1152,1471
327.90816_Da_24.63_s,0.41,326.9009,999,NA,NA,236,656,853,654,707,621,388,663,922,389,618,305,783,775,312,571,891,504,617,460,226,0,152,287,0,247,0,0,239,270,169,0,178,0,256,278,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,666,511,644,374,518,483,580,516,654,958,724,1446,598,701,712,814,750,1311,665
318.06068_Da_24.71_s,0.41,317.0534,999,NA,NA,527,1047,680,763,556,798,735,820,922,635,839,585,531,573,768,639,733,627,502,549,568,376,289,688,292,448,348,468,611,539,399,439,355,395,563,476,579,412,286,546,359,176,301,475,586,499,344,291,324,521,289,232,322,178,257,171,373,290,262,233,972,602,755,859,775,490,619,663,708,357,253,284,218,264,309,230,330,289,285,160
339.82074_Da_24.76_s,0.41,338.8135,999,NA,NA,314,403,465,354,291,372,531,383,360,182,650,797,293,473,1134,788,460,498,888,416,500,411,0,642,112,507,431,292,453,314,303,178,273,355,460,365,398,226,141,333,0,0,0,0,0,0,0,0,0,185,197,102,0,0,0,0,137,0,0,0,1015,446,917,1037,1085,559,847,848,1197,442,61,434,55,90,133,0,578,891,237,459
334.06526_Da_24.90_s,0.41,333.0580,999,NA,NA,191,316,250,251,0,297,223,221,261,257,311,294,310,281,289,367,214,238,243,203,349,450,199,242,198,274,161,170,328,204,426,323,330,133,360,167,336,165,378,551,169,110,0,134,496,135,126,121,78,214,101,0,132,111,107,101,166,108,103,0,2619,1422,1471,2360,1710,829,1737,2631,1819,962,422,516,179,393,240,234,378,474,397,544
312.88874_Da_25.24_s,0.42,311.8815,999,NA,NA,395,0,0,0,90,0,148,0,0,280,0,167,0,0,0,0,0,0,0,0,0,243,269,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,240,0,812,623,1035,592,833,760,1259,1159,1207,338,695,519,797,820,405,1103,378,475,689,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.90864_Da_25.25_s,0.42,297.9014,999,NA,NA,469,169,230,176,164,220,0,154,128,500,128,0,199,0,0,0,86,0,0,278,245,449,382,95,317,0,288,239,212,207,212,377,251,291,0,252,211,272,383,184,1062,1067,0,665,888,920,1101,1266,1240,620,699,736,1169,1143,638,1219,430,725,894,0,0,97,0,0,0,0,0,0,0,136,0,152,234,282,186,403,0,0,135,0
282.92398_Da_25.38_s,0.42,281.9167,999,NA,NA,1365,411,0,279,274,348,444,0,0,1499,0,441,337,0,0,178,0,0,112,542,1289,4374,4118,777,4102,1662,2114,2290,1305,1567,2497,5065,2655,2317,1402,1183,2188,1850,4278,1242,8325,8301,8242,7142,5824,7065,7254,8289,8429,4560,6870,6315,8343,7155,7463,8972,2962,6506,7577,8140,347,323,0,235,413,316,315,0,0,468,1396,354,521,1105,1351,1682,214,0,332,301
147.97177_Da_26.01_s,0.43,146.9645,999,NA,NA,1945,2147,1556,1963,1756,1335,2611,1813,1697,1726,890,2460,1796,2269,2797,1106,1242,2290,2090,3273,2146,1371,1648,2558,2021,2185,2304,2456,2214,2425,1930,1598,2059,2287,1938,2158,2193,2522,1594,2204,1082,1585,1075,1931,1365,1726,1423,1452,872,1353,1630,1374,1091,1946,1749,1111,1916,1957,1915,1167,899,857,1826,1145,333,2024,1519,320,996,668,2595,859,2802,2436,2837,3050,552,693,1651,942
323.92432_Da_26.06_s,0.43,322.9170,999,NA,NA,762,0,252,159,247,176,294,268,220,582,0,292,319,161,0,0,174,0,0,391,372,513,604,0,539,432,410,415,306,284,380,510,450,334,237,408,355,400,666,309,2498,2302,3624,1982,2383,2731,3167,4027,3456,1284,1965,1413,2523,3569,1076,4114,1258,2042,2410,2823,0,0,0,0,0,139,0,0,0,0,812,0,0,596,798,1248,0,0,138,0
324.93436_Da_26.07_s,0.43,323.9271,999,NA,NA,0,0,0,0,0,0,103,0,0,0,0,113,0,0,0,0,92,0,0,0,166,238,291,0,255,159,0,248,156,259,155,412,279,312,196,276,205,197,403,168,1467,1101,3284,1419,0,1801,2873,3454,3485,915,1186,672,1877,2678,541,2279,515,696,1529,0,0,0,0,0,0,102,0,0,0,75,0,0,134,129,221,0,92,0,0,0
258.94116_Da_26.41_s,0.44,257.9339,999,NA,NA,424,714,914,654,618,491,508,583,632,419,800,540,542,619,672,821,620,880,820,550,308,0,0,428,0,276,197,258,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,779,699,753,741,683,848,734,711,660,804,677,407,337,373,200,839,796,997,872
152.06767_Da_26.43_s,0.44,151.0604,999,NA,NA,705,859,857,820,739,738,751,539,825,706,1206,850,743,1245,835,878,834,999,869,908,457,100,238,484,224,483,517,321,384,373,337,132,193,193,537,300,170,477,115,396,0,97,118,98,0,109,0,106,0,96,129,62,0,102,181,148,184,104,63,102,522,725,467,708,580,504,562,560,629,461,345,543,438,499,371,273,653,604,602,606
340.91442_Da_26.47_s,0.44,339.9071,999,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,603,404,1597,543,981,930,1732,1760,1932,344,506,312,1179,1521,0,1090,288,308,919,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.97479_Da_26.86_s,0.45,148.9675,999,NA,NA,0,0,0,0,0,121,0,0,0,368,0,0,0,0,0,0,0,0,0,0,481,1221,885,501,1024,610,549,777,556,663,658,1324,955,861,477,700,865,889,1329,776,1673,1585,2142,1931,1716,1726,1751,1842,2152,1312,1630,1192,1807,1844,839,2041,1115,1119,1915,1868,0,0,0,0,0,0,0,0,0,0,711,0,411,501,731,797,0,0,0,0
243.06009_Da_27.27_s,0.45,242.0528,999,NA,NA,471,565,528,739,516,584,522,500,553,351,683,627,795,764,483,551,571,667,540,685,1374,1357,1149,1041,899,897,644,792,1167,591,1569,878,1337,856,1525,1008,1397,873,1907,1975,123,416,195,135,782,0,0,167,120,0,291,375,0,194,1647,162,399,556,326,161,1375,3600,2937,584,3216,3090,1929,1027,2067,2418,505,2439,960,1154,554,531,1263,2611,993,3576
